,files_combined,sig_id,pert_id,pert_iname,moa_v1
32,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_1.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
33,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_2.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
34,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_3.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
35,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_4.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
36,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_5.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
37,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_6.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
38,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_7.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
39,graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_8.csv,AML001_CD34_6H_BRD-K43389675_1.11111,BRD-K43389675,daunorubicin,dna_rna_damage
40,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_1.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
41,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_10.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
42,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_100.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
43,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_11.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
44,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_12.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
45,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_13.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
46,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_14.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
47,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_15.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
48,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_16.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
49,graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_17.csv,AML001_HL60_24H_BRD-A45664787_10,BRD-A45664787,iloprost,prostanoid_agonist
50,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_1.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
51,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_2.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
52,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_3.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
53,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_4.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
54,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_5.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
55,graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_6.csv,AML001_HL60_6H_BRD-A19037878_1.11111,BRD-A19037878,trichostatin-a,hdac_inhibitor
56,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_1.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
57,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_10.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
58,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_100.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
59,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_11.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
60,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_12.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
61,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_13.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
62,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_14.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
63,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_15.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
64,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_16.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
65,graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_17.csv,AML001_HL60_6H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
66,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_1.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
67,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_10.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
68,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_11.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
69,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_12.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
70,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_13.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
71,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_14.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
72,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_15.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
73,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_16.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
74,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_17.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
75,graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_18.csv,AML001_HL60_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
76,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_1.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
77,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_10.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
78,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_100.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
79,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_11.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
80,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_12.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
81,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_13.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
82,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_14.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
83,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_15.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
84,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_16.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
85,graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_17.csv,AML001_HL60_6H_BRD-K19706299_1.11111,BRD-K19706299,MRE-269,prostanoid_agonist
86,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_1.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
87,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_10.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
88,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_100.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
89,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_11.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
90,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_12.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
91,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_13.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
92,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_14.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
93,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_15.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
94,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_16.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
95,graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_17.csv,AML001_HL60_6H_BRD-K43389675_0.37037,BRD-K43389675,daunorubicin,dna_rna_damage
96,graphs_combined/AML001_HL60_6H_BRD-K49071277_10/graph_1.csv,AML001_HL60_6H_BRD-K49071277_10,BRD-K49071277,securinine,gaba_antagonist
97,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_1.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
98,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_10.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
99,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_100.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
100,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_11.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
101,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_12.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
102,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_13.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
103,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_14.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
104,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_15.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
105,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_16.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
106,graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_17.csv,AML001_HL60_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
107,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_1.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
108,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_10.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
109,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_100.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
110,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_11.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
111,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_12.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
112,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_13.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
113,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_14.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
114,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_15.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
115,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_16.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
116,graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_17.csv,AML001_HL60_6H_BRD-K71879491_10,BRD-K71879491,tretinoin,retinoid_agonist_ligand
117,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_1.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
118,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_10.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
119,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_11.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
120,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_12.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
121,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_13.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
122,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_14.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
123,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_15.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
124,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_16.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
125,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_17.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
126,graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_18.csv,AML001_PC3_6H_BRD-K49071277_3.33333,BRD-K49071277,securinine,gaba_antagonist
127,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_1.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
128,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_2.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
129,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_3.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
130,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_4.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
131,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_5.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
132,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_6.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
133,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_7.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
134,graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_8.csv,AML001_PC3_6H_BRD-K68552125_0.37037,BRD-K68552125,phorbol-myristate-acetate,PKC activator
135,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_1.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
136,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_10.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
137,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_100.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
138,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_11.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
139,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_12.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
140,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_13.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
141,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_14.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
142,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_15.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
143,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_16.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
144,graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_17.csv,AML001_U937_24H_BRD-A19037878_10,BRD-A19037878,trichostatin-a,hdac_inhibitor
145,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_1.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
146,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_10.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
147,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_100.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
148,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_11.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
149,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_12.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
150,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_13.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
151,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_14.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
152,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_15.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
153,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_16.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
154,graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_17.csv,AML001_U937_24H_BRD-A19500257_10,BRD-A19500257,geldanamycin,HSP inhibitor
