"","files_weighted","sig_id","count","rdkit","cell_id","pert_iname","pert_dose","pert_time","pert_id","atoms","emb","identifier","sig_id_original"
"16","graphs_weighted/AML001_HL60_24H_BRD-A34037822_3.33333/graph.csv","AML001_HL60_24H_BRD-A34037822_3.33333",1,"Cn1ccc2c(-c3ccc(C(C)(C)C)cc3)cc3c(c21)C1CCC3O1","HL60","KUC107191N",3.3,24,"BRD-A34037822",25,"AML001_HL60_24H_BRD-A34037822_3.33333_emb","KUC107191NHL603.324","AML001_HL60_24H:BRD-A34037822:3.33333"
"17","graphs_weighted/AML001_HL60_24H_BRD-A35207501_10/graph.csv","AML001_HL60_24H_BRD-A35207501_10",1,"O=C(CCNC(=O)c1ccc(Cl)cc1)NC1CCCc2ccccc21","HL60","BRD-A35207501",10,24,"BRD-A35207501",25,"AML001_HL60_24H_BRD-A35207501_10_emb","BRD-A35207501HL601024","AML001_HL60_24H:BRD-A35207501:10"
"18","graphs_weighted/AML001_HL60_24H_BRD-A45664787_10/graph.csv","AML001_HL60_24H_BRD-A45664787_10",1,"CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O","HL60","iloprost",10,24,"BRD-A45664787",26,"AML001_HL60_24H_BRD-A45664787_10_emb","iloprostHL601024","AML001_HL60_24H:BRD-A45664787:10"
"19","graphs_weighted/AML001_HL60_24H_BRD-A72796238_10/graph.csv","AML001_HL60_24H_BRD-A72796238_10",1,"CCOC(=O)C1=C(CN2CCc3ccccc32)NC(=O)NC1c1cccc([N+](=O)[O-])c1","HL60","BRD-A72796238",10,24,"BRD-A72796238",31,"AML001_HL60_24H_BRD-A72796238_10_emb","BRD-A72796238HL601024","AML001_HL60_24H:BRD-A72796238:10"
"20","graphs_weighted/AML001_HL60_24H_BRD-K05456756_3.33333/graph.csv","AML001_HL60_24H_BRD-K05456756_3.33333",1,"Cc1cc(NC(=O)COC(=O)c2c(C)nn(Cc3ccccc3)c2Cl)no1","HL60","BRD-K05456756",3.3,24,"BRD-K05456756",27,"AML001_HL60_24H_BRD-K05456756_3.33333_emb","BRD-K05456756HL603.324","AML001_HL60_24H:BRD-K05456756:3.33333"
"21","graphs_weighted/AML001_HL60_24H_BRD-K16300438_10/graph.csv","AML001_HL60_24H_BRD-K16300438_10",1,"COc1ccc(NC2=C(NC(C)=O)C(=O)c3ccccc3C2=O)cc1","HL60","BRD-K16300438",10,24,"BRD-K16300438",25,"AML001_HL60_24H_BRD-K16300438_10_emb","BRD-K16300438HL601024","AML001_HL60_24H:BRD-K16300438:10"
"22","graphs_weighted/AML001_HL60_24H_BRD-K41790758_10/graph.csv","AML001_HL60_24H_BRD-K41790758_10",1,"Cc1ccc(Nc2nc(=O)c3cccnc3s2)c(Br)c1","HL60","BRD-K41790758",10,24,"BRD-K41790758",20,"AML001_HL60_24H_BRD-K41790758_10_emb","BRD-K41790758HL601024","AML001_HL60_24H:BRD-K41790758:10"
"23","graphs_weighted/AML001_HL60_24H_BRD-K64302725_10/graph.csv","AML001_HL60_24H_BRD-K64302725_10",1,"O[C@H]1C[C@H](c2ccc(Cl)cc2)N(Cc2cccs2)C[C@@H]1n1cc(C2CC2)nn1","HL60","KUC105208",10,24,"BRD-K64302725",28,"AML001_HL60_24H_BRD-K64302725_10_emb","KUC105208HL601024","AML001_HL60_24H:BRD-K64302725:10"
"24","graphs_weighted/AML001_HL60_24H_BRD-K95149906_3.33333/graph.csv","AML001_HL60_24H_BRD-K95149906_3.33333",1,"C/C(=C1/SC(N2CCCC2)=NC1=O)c1ccc(Br)cc1","HL60","BRD-K95149906",3.3,24,"BRD-K95149906",20,"AML001_HL60_24H_BRD-K95149906_3.33333_emb","BRD-K95149906HL603.324","AML001_HL60_24H:BRD-K95149906:3.33333"
"25","graphs_weighted/AML001_HL60_6H_BRD-A19037878_1.11111/graph.csv","AML001_HL60_6H_BRD-A19037878_1.11111",1,"CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1","HL60","trichostatin-a",1.1,6,"BRD-A19037878",22,"AML001_HL60_6H_BRD-A19037878_1.11111_emb","trichostatin-aHL601.16","AML001_HL60_6H:BRD-A19037878:1.11111"
"26","graphs_weighted/AML001_HL60_6H_BRD-A19500257_10/graph.csv","AML001_HL60_6H_BRD-A19500257_10",1,"COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","HL60","geldanamycin",10,6,"BRD-A19500257",40,"AML001_HL60_6H_BRD-A19500257_10_emb","geldanamycinHL60106","AML001_HL60_6H:BRD-A19500257:10"
"27","graphs_weighted/AML001_HL60_6H_BRD-A75409952_10/graph.csv","AML001_HL60_6H_BRD-A75409952_10",1,"COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O","HL60","wortmannin",10,6,"BRD-A75409952",31,"AML001_HL60_6H_BRD-A75409952_10_emb","wortmanninHL60106","AML001_HL60_6H:BRD-A75409952:10"
"28","graphs_weighted/AML001_HL60_6H_BRD-K13077924_3.33333/graph.csv","AML001_HL60_6H_BRD-K13077924_3.33333",1,"C/C=C/c1ccc(OCc2cn3cccc(C)c3n2)c(OC)c1","HL60","BRD-K13077924",3.3,6,"BRD-K13077924",23,"AML001_HL60_6H_BRD-K13077924_3.33333_emb","BRD-K13077924HL603.36","AML001_HL60_6H:BRD-K13077924:3.33333"
"29","graphs_weighted/AML001_HL60_6H_BRD-K19706299_1.11111/graph.csv","AML001_HL60_6H_BRD-K19706299_1.11111",1,"CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O","HL60","MRE-269",1.1,6,"BRD-K19706299",28,"AML001_HL60_6H_BRD-K19706299_1.11111_emb","MRE-269HL601.16","AML001_HL60_6H:BRD-K19706299:1.11111"
"30","graphs_weighted/AML001_HL60_6H_BRD-K27499107_10/graph.csv","AML001_HL60_6H_BRD-K27499107_10",1,"CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O","HL60","carbacyclin",10,6,"BRD-K27499107",25,"AML001_HL60_6H_BRD-K27499107_10_emb","carbacyclinHL60106","AML001_HL60_6H:BRD-K27499107:10"
"31","graphs_weighted/AML001_HL60_6H_BRD-K43389675_0.37037/graph.csv","AML001_HL60_6H_BRD-K43389675_0.37037",1,"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","HL60","daunorubicin",0.4,6,"BRD-K43389675",38,"AML001_HL60_6H_BRD-K43389675_0.37037_emb","daunorubicinHL600.46","AML001_HL60_6H:BRD-K43389675:0.37037"
"32","graphs_weighted/AML001_HL60_6H_BRD-K49071277_10/graph.csv","AML001_HL60_6H_BRD-K49071277_10",1,"O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","HL60","securinine",10,6,"BRD-K49071277",16,"AML001_HL60_6H_BRD-K49071277_10_emb","securinineHL60106","AML001_HL60_6H:BRD-K49071277:10"
"33","graphs_weighted/AML001_HL60_6H_BRD-K68552125_0.37037/graph.csv","AML001_HL60_6H_BRD-K68552125_0.37037",1,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","HL60","phorbol-myristate-acetate",0.4,6,"BRD-K68552125",44,"AML001_HL60_6H_BRD-K68552125_0.37037_emb","phorbol-myristate-acetateHL600.46","AML001_HL60_6H:BRD-K68552125:0.37037"
"34","graphs_weighted/AML001_HL60_6H_BRD-K71879491_10/graph.csv","AML001_HL60_6H_BRD-K71879491_10",1,"CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1","HL60","tretinoin",10,6,"BRD-K71879491",22,"AML001_HL60_6H_BRD-K71879491_10_emb","tretinoinHL60106","AML001_HL60_6H:BRD-K71879491:10"
"35","graphs_weighted/AML001_HL60_6H_BRD-K74176882_3.33333/graph.csv","AML001_HL60_6H_BRD-K74176882_3.33333",1,"O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1","HL60","BRD-K74176882",3.3,6,"BRD-K74176882",19,"AML001_HL60_6H_BRD-K74176882_3.33333_emb","BRD-K74176882HL603.36","AML001_HL60_6H:BRD-K74176882:3.33333"
"36","graphs_weighted/AML001_PC3_6H_BRD-A34037822_1.11111/graph.csv","AML001_PC3_6H_BRD-A34037822_1.11111",1,"Cn1ccc2c(-c3ccc(C(C)(C)C)cc3)cc3c(c21)C1CCC3O1","PC3","KUC107191N",1.1,6,"BRD-A34037822",25,"AML001_PC3_6H_BRD-A34037822_1.11111_emb","KUC107191NPC31.16","AML001_PC3_6H:BRD-A34037822:1.11111"
"37","graphs_weighted/AML001_PC3_6H_BRD-K05456756_3.33333/graph.csv","AML001_PC3_6H_BRD-K05456756_3.33333",1,"Cc1cc(NC(=O)COC(=O)c2c(C)nn(Cc3ccccc3)c2Cl)no1","PC3","BRD-K05456756",3.3,6,"BRD-K05456756",27,"AML001_PC3_6H_BRD-K05456756_3.33333_emb","BRD-K05456756PC33.36","AML001_PC3_6H:BRD-K05456756:3.33333"
"38","graphs_weighted/AML001_PC3_6H_BRD-K13077924_10/graph.csv","AML001_PC3_6H_BRD-K13077924_10",1,"C/C=C/c1ccc(OCc2cn3cccc(C)c3n2)c(OC)c1","PC3","BRD-K13077924",10,6,"BRD-K13077924",23,"AML001_PC3_6H_BRD-K13077924_10_emb","BRD-K13077924PC3106","AML001_PC3_6H:BRD-K13077924:10"
"39","graphs_weighted/AML001_PC3_6H_BRD-K47084999_3.33333/graph.csv","AML001_PC3_6H_BRD-K47084999_3.33333",1,"Cc1ccc(Nc2nc(=O)c3cccnc3s2)cc1","PC3","BRD-K47084999",3.3,6,"BRD-K47084999",19,"AML001_PC3_6H_BRD-K47084999_3.33333_emb","BRD-K47084999PC33.36","AML001_PC3_6H:BRD-K47084999:3.33333"
"40","graphs_weighted/AML001_PC3_6H_BRD-K49071277_3.33333/graph.csv","AML001_PC3_6H_BRD-K49071277_3.33333",1,"O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","PC3","securinine",3.3,6,"BRD-K49071277",16,"AML001_PC3_6H_BRD-K49071277_3.33333_emb","securininePC33.36","AML001_PC3_6H:BRD-K49071277:3.33333"
"41","graphs_weighted/AML001_PC3_6H_BRD-K63513868_1.11111/graph.csv","AML001_PC3_6H_BRD-K63513868_1.11111",1,"Cc1cccn2cc(COc3ccc(-c4ccccc4)cc3)nc12","PC3","BRD-K63513868",1.1,6,"BRD-K63513868",24,"AML001_PC3_6H_BRD-K63513868_1.11111_emb","BRD-K63513868PC31.16","AML001_PC3_6H:BRD-K63513868:1.11111"
"42","graphs_weighted/AML001_PC3_6H_BRD-K68552125_0.37037/graph.csv","AML001_PC3_6H_BRD-K68552125_0.37037",1,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","PC3","phorbol-myristate-acetate",0.4,6,"BRD-K68552125",44,"AML001_PC3_6H_BRD-K68552125_0.37037_emb","phorbol-myristate-acetatePC30.46","AML001_PC3_6H:BRD-K68552125:0.37037"
"43","graphs_weighted/AML001_PC3_6H_BRD-K74176882_3.33333/graph.csv","AML001_PC3_6H_BRD-K74176882_3.33333",1,"O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1","PC3","BRD-K74176882",3.3,6,"BRD-K74176882",19,"AML001_PC3_6H_BRD-K74176882_3.33333_emb","BRD-K74176882PC33.36","AML001_PC3_6H:BRD-K74176882:3.33333"
"44","graphs_weighted/AML001_PC3_6H_BRD-K85822033_10/graph.csv","AML001_PC3_6H_BRD-K85822033_10",1,"Cc1cccn2cc(COc3ccc(F)cc3Cl)nc12","PC3","BRD-K85822033",10,6,"BRD-K85822033",20,"AML001_PC3_6H_BRD-K85822033_10_emb","BRD-K85822033PC3106","AML001_PC3_6H:BRD-K85822033:10"
"45","graphs_weighted/AML001_U937_24H_BRD-A19037878_10/graph.csv","AML001_U937_24H_BRD-A19037878_10",1,"CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1","U937","trichostatin-a",10,24,"BRD-A19037878",22,"AML001_U937_24H_BRD-A19037878_10_emb","trichostatin-aU9371024","AML001_U937_24H:BRD-A19037878:10"
"46","graphs_weighted/AML001_U937_24H_BRD-A19500257_10/graph.csv","AML001_U937_24H_BRD-A19500257_10",1,"COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","U937","geldanamycin",10,24,"BRD-A19500257",40,"AML001_U937_24H_BRD-A19500257_10_emb","geldanamycinU9371024","AML001_U937_24H:BRD-A19500257:10"
"47","graphs_weighted/AML001_U937_24H_BRD-A74382794_3.33333/graph.csv","AML001_U937_24H_BRD-A74382794_3.33333",1,"COc1cc(C(=O)NCCC(=O)NC2CCCc3ccccc32)cc(OC)c1OC","U937","BRD-A74382794",3.3,24,"BRD-A74382794",30,"AML001_U937_24H_BRD-A74382794_3.33333_emb","BRD-A74382794U9373.324","AML001_U937_24H:BRD-A74382794:3.33333"
"48","graphs_weighted/AML001_U937_24H_BRD-K04986062_1.11111/graph.csv","AML001_U937_24H_BRD-K04986062_1.11111",1,"C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C","U937","BRD-K04986062",1.1,24,"BRD-K04986062",26,"AML001_U937_24H_BRD-K04986062_1.11111_emb","BRD-K04986062U9371.124","AML001_U937_24H:BRD-K04986062:1.11111"
"49","graphs_weighted/AML001_U937_24H_BRD-K41790758_3.33333/graph.csv","AML001_U937_24H_BRD-K41790758_3.33333",1,"Cc1ccc(Nc2nc(=O)c3cccnc3s2)c(Br)c1","U937","BRD-K41790758",3.3,24,"BRD-K41790758",20,"AML001_U937_24H_BRD-K41790758_3.33333_emb","BRD-K41790758U9373.324","AML001_U937_24H:BRD-K41790758:3.33333"
"50","graphs_weighted/AML001_U937_24H_BRD-K64877338_3.33333/graph.csv","AML001_U937_24H_BRD-K64877338_3.33333",1,"O=C(C1=CC=CN2CCS(=O)(=O)N=C12)N1CCc2ccccc2C1","U937","BRD-K64877338",3.3,24,"BRD-K64877338",24,"AML001_U937_24H_BRD-K64877338_3.33333_emb","BRD-K64877338U9373.324","AML001_U937_24H:BRD-K64877338:3.33333"
"51","graphs_weighted/AML001_U937_24H_BRD-K68552125_10/graph.csv","AML001_U937_24H_BRD-K68552125_10",1,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","U937","phorbol-myristate-acetate",10,24,"BRD-K68552125",44,"AML001_U937_24H_BRD-K68552125_10_emb","phorbol-myristate-acetateU9371024","AML001_U937_24H:BRD-K68552125:10"
"52","graphs_weighted/AML001_U937_6H_BRD-A34037822_1.11111/graph.csv","AML001_U937_6H_BRD-A34037822_1.11111",1,"Cn1ccc2c(-c3ccc(C(C)(C)C)cc3)cc3c(c21)C1CCC3O1","U937","KUC107191N",1.1,6,"BRD-A34037822",25,"AML001_U937_6H_BRD-A34037822_1.11111_emb","KUC107191NU9371.16","AML001_U937_6H:BRD-A34037822:1.11111"
"53","graphs_weighted/AML001_U937_6H_BRD-A72796238_3.33333/graph.csv","AML001_U937_6H_BRD-A72796238_3.33333",1,"CCOC(=O)C1=C(CN2CCc3ccccc32)NC(=O)NC1c1cccc([N+](=O)[O-])c1","U937","BRD-A72796238",3.3,6,"BRD-A72796238",31,"AML001_U937_6H_BRD-A72796238_3.33333_emb","BRD-A72796238U9373.36","AML001_U937_6H:BRD-A72796238:3.33333"
"54","graphs_weighted/AML001_U937_6H_BRD-A75409952_10/graph.csv","AML001_U937_6H_BRD-A75409952_10",1,"COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O","U937","wortmannin",10,6,"BRD-A75409952",31,"AML001_U937_6H_BRD-A75409952_10_emb","wortmanninU937106","AML001_U937_6H:BRD-A75409952:10"
"55","graphs_weighted/AML001_U937_6H_BRD-K23623013_1.11111/graph.csv","AML001_U937_6H_BRD-K23623013_1.11111",1,"COC(=O)C1=C(c2cc3ccccc3s2)C[C@@H]2CC[C@H]1N2C(=O)NC1CCCCC1","U937","UTMB-00042",1.1,6,"BRD-K23623013",30,"AML001_U937_6H_BRD-K23623013_1.11111_emb","UTMB-00042U9371.16","AML001_U937_6H:BRD-K23623013:1.11111"
"56","graphs_weighted/AML001_U937_6H_BRD-K49071277_10/graph.csv","AML001_U937_6H_BRD-K49071277_10",1,"O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","U937","securinine",10,6,"BRD-K49071277",16,"AML001_U937_6H_BRD-K49071277_10_emb","securinineU937106","AML001_U937_6H:BRD-K49071277:10"
"57","graphs_weighted/AML001_U937_6H_BRD-K63513868_0.37037/graph.csv","AML001_U937_6H_BRD-K63513868_0.37037",1,"Cc1cccn2cc(COc3ccc(-c4ccccc4)cc3)nc12","U937","BRD-K63513868",0.4,6,"BRD-K63513868",24,"AML001_U937_6H_BRD-K63513868_0.37037_emb","BRD-K63513868U9370.46","AML001_U937_6H:BRD-K63513868:0.37037"
"58","graphs_weighted/AML001_U937_6H_BRD-K74176882_3.33333/graph.csv","AML001_U937_6H_BRD-K74176882_3.33333",1,"O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1","U937","BRD-K74176882",3.3,6,"BRD-K74176882",19,"AML001_U937_6H_BRD-K74176882_3.33333_emb","BRD-K74176882U9373.36","AML001_U937_6H:BRD-K74176882:3.33333"
"59","graphs_weighted/AML001_U937_6H_BRD-K80368509_1.11111/graph.csv","AML001_U937_6H_BRD-K80368509_1.11111",1,"COc1ccccc1NC(=O)c1cccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c1","U937","BRD-K80368509",1.1,6,"BRD-K80368509",32,"AML001_U937_6H_BRD-K80368509_1.11111_emb","BRD-K80368509U9371.16","AML001_U937_6H:BRD-K80368509:1.11111"
"60","graphs_weighted/ASG001_MCF7_24H_BRD-A06304526-001-01-0_0.4/graph.csv","ASG001_MCF7_24H_BRD-A06304526-001-01-0_0.4",1,"COC1/C=C/C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O","MCF7","alvespimycin",0.4,24,"BRD-A06304526",44,"ASG001_MCF7_24H_BRD-A06304526-001-01-0_0.4_emb","alvespimycinMCF70.424","ASG001_MCF7_24H:BRD-A06304526-001-01-0:0.4"
"61","graphs_weighted/ASG001_MCF7_24H_BRD-A39996500-001-01-4_10/graph.csv","ASG001_MCF7_24H_BRD-A39996500-001-01-4_10",1,"CC1CC2OC2/C=C/C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1","MCF7","radicicol",10,24,"BRD-A39996500",25,"ASG001_MCF7_24H_BRD-A39996500-001-01-4_10_emb","radicicolMCF71024","ASG001_MCF7_24H:BRD-A39996500-001-01-4:10"
"62","graphs_weighted/ASG001_PC3_24H_BRD-A06304526-001-01-0_10/graph.csv","ASG001_PC3_24H_BRD-A06304526-001-01-0_10",1,"COC1/C=C/C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O","PC3","alvespimycin",10,24,"BRD-A06304526",44,"ASG001_PC3_24H_BRD-A06304526-001-01-0_10_emb","alvespimycinPC31024","ASG001_PC3_24H:BRD-A06304526-001-01-0:10"
"63","graphs_weighted/ASG001_PC3_24H_BRD-A61304759-001-01-0_10/graph.csv","ASG001_PC3_24H_BRD-A61304759-001-01-0_10",1,"C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","PC3","tanespimycin",10,24,"BRD-A61304759",42,"ASG001_PC3_24H_BRD-A61304759-001-01-0_10_emb","tanespimycinPC31024","ASG001_PC3_24H:BRD-A61304759-001-01-0:10"
"64","graphs_weighted/ASG001_PC3_24H_BRD-A79768653-001-01-3_0.4/graph.csv","ASG001_PC3_24H_BRD-A79768653-001-01-3_0.4",1,NA,"PC3","sirolimus",0.4,24,"BRD-A79768653",NA,"ASG001_PC3_24H_BRD-A79768653-001-01-3_0.4_emb","sirolimusPC30.424","ASG001_PC3_24H:BRD-A79768653-001-01-3:0.4"
