"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication","moa_v1"
"21","COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1","COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1","serotonin receptor antagonist","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6","","","serotonin_receptor_antagonist"
"22","Cc1ccc2c(=O)c3ccccc3n(CCCN)c2c1C","Cc1ccc2c(=O)c3ccccc3n(CCCN)c2c1C","mediator release inhibitor|SYK inhibitor","SYK","","","syk_inhibitor"
"23","O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1","O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1","IKK inhibitor","IKBKB","","","ikk_inhibitor"
"24","COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC","COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC","JAK inhibitor","EGFR|JAK1|JAK2|JAK3","","","jak_inhibitor"
"25","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1","glycogen synthase kinase inhibitor","GSK3B","","","glycogen_synthase_kinase_inhibitor"
"26","COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC","COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC","EGFR inhibitor","EGFR|MAPK14","","","EGFR_inhibitor"
"27","COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4","COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4","protein synthesis inhibitor","RPL3","hematologic malignancy","chronic myeloid leukemia (CML)","protein_synthesis_inhibitor"
"28","C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1","C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1","ATPase inhibitor","ATP1A1","","","atp_synthesis_inhibitor"
"29","Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1","Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1","PI3K inhibitor","","","","pi3k_inhibitor"
"30","CCOc1ccccc1OC(c1ccccc1)C1CNCCO1","CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1","adrenergic receptor antagonist","SLC6A2","neurology/psychiatry","depression","adrenergic_receptor_antagonist"
"31","COc1cc2c(cc1O)C(CCc1ccc(Cl)cc1)N(C)CC2","COc1cc2c(cc1O)[C@H](CCc1ccc(Cl)cc1)N(C)CC2","glutamate receptor antagonist","GRIN2B","","","glutamate_antagonist"
"32","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C=O","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C=O","NGF binding inhibitor","NGF|NGFR","","","NGF binding inhibitor"
"33","COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1","COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1","p38 MAPK inhibitor","MAPK14","","","mapk_inhibitor"
"34","Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1","Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1","histone lysine methyltransferase inhibitor","CDK2|CDK4","","","histone lysine methyltransferase inhibitor"
"35","O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21","O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21","cytochrome P450 inhibitor","CYP1B1","","","p450_inhibitor"
"36","NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1","NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1","glucocorticoid receptor agonist","SLC12A1|SLC12A2","cardiology","hypertension|edema","glucocorticoid receptor agonist"
"37","CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl","CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl","dopamine receptor antagonist","DRD2|DRD3|DRD4","neurology/psychiatry","schizophrenia","dopamine_antagonist"
"38","CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O","CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O","dehydropeptidase inhibitor","DPEP1","","","peptidase_inhibitor"
"39","CCCCCS(=O)(=O)CCCCCCCCCCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21","CCCCCS(=O)(=O)CCCCCCCCCCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21","estrogen receptor antagonist","ESR1|ESR2","","","estrogen_antagonist"
"40","COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C","COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C","T-type calcium channel blocker","ANO1|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CATSPER1|CATSPER2|CATSPER3|CATSPER4","","","calcium_channel_blocker"
"41","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1","phosphodiesterase inhibitor","PDE2A|PDE3A|PDE3B|PDE5A","cardiology","congestive heart failure","phosphodiesterase_inhibitor"
"42","Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1","Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1","estrogen receptor antagonist","ESR2","","","estrogen_antagonist"
"43","O=C1c2ccccc2C(Cc2ccnc(F)c2)(Cc2ccnc(F)c2)c2ccccc21","O=C1c2ccccc2C(Cc2ccnc(F)c2)(Cc2ccnc(F)c2)c2ccccc21","acetylcholine release enhancer","","","","acetylcholine_agonist"
"44","CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1","CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1","phosphodiesterase inhibitor","PDE3A|PDE3B","","","phosphodiesterase_inhibitor"
"45","COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1","COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1","ARF inhibitor","","","","ARF inhibitor"
"46","COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC(n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1","COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1","protein synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","","","protein_synthesis_inhibitor"
"47","CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1","CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1","topoisomerase inhibitor","TOP1","","","dna_rna_damage"
"48","CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12","CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC6","","","hdac_inhibitor"
"49","CN1CCC(c2c[nH]c3ccc(O)cc23)CC1","CN1CCC(c2c[nH]c3ccc(O)cc23)CC1","serotonin receptor agonist","HTR1E|HTR1F","","","serotonin_receptor_agonist"
"50","C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O","C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O","steroid","","","","steroid"
"51","COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC","COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC","vesicular monoamine transporter inhibitor","SLC18A1|SLC18A2","cardiology","hypertension","vesicular monoamine transporter inhibitor"
"52","Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1","Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1","SRC inhibitor","HCK|RET","","","src_inhibitor"
"53","CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1","CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1","proteasome inhibitor","PSMB1","","","proteasome_inhibitor"
"54","CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1","CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1","cyclooxygenase inhibitor","LTF|PLA2G2E|PTGS1|PTGS2","rheumatology|obstetrics/gynecology","osteoarthritis|menstrual pain","cox inhibitor"
"55","COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1","COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1","DNA synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","","","dna_rna_damage"
"56","CCN(CC)c1cc(C)nc2ncnn12","CCN(CC)c1cc(C)nc2ncnn12","PDGFR tyrosine kinase receptor inhibitor","PDGFRA","cardiology","coronary artery disease (CAD)","pdgfr_inhibitor"
"57","Brc1c(NC2=NCCN2)ccc2nccnc12","Brc1c(NC2=NCCN2)ccc2nccnc12","adrenergic receptor agonist","ADRA2A|ADRA2B|ADRA2C","ophthalmology","intraocular pressure|glaucoma|ocular hypertension","adrenergic_agonist"
"58","COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O","COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O","protein tyrosine kinase inhibitor","ERBB2","","","tyrosine_kinase_inhibitor"
"59","Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1","Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1","dopamine reuptake inhibitor","SLC6A3","","","dopamine reuptake inhibitor"
"60","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","NFkB pathway inhibitor","","","","nfkb_inhibitor"
"61","CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1","CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1","serotonin receptor agonist","HTR1B","","","serotonin_receptor_agonist"
"62","Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O","Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O","xanthine oxidase inhibitor","XDH","nephrology","hyperuricemia","xanthine oxidase inhibitor"
"63","COc1cccc(-c2cc(=O)c3ccccc3o2)c1N","COc1cccc(-c2cc(=O)c3ccccc3o2)c1N","MEK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1","","","mek_inhibitor"
"64","CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1","CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1","CCK receptor antagonist","CCKBR","","","CCK receptor antagonist"
"65","COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1","COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1","serotonin receptor partial agonist","HTR4","","","serotonin_receptor_agonist"
"66","c1ccc2c(CC3=NCCN3)cccc2c1","c1ccc2c(CC3=NCCN3)cccc2c1","adrenergic receptor agonist","ADRA1A|ADRA2A","ophthalmology","eye irritation","adrenergic_agonist"
"67","CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21","CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21","dopamine receptor antagonist","DRD2|HTR2A","neurology/psychiatry","schizophrenia","dopamine_antagonist"
"68","O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21","O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21","CDC inhibitor","CDC25A|CDC25B","","","CDC inhibitor"
"69","O=S(=O)(c1cccc2cnccc12)N1CCNCC1","O=S(=O)(c1cccc2cnccc12)N1CCNCC1","protein kinase inhibitor","PRKCA","","","kinase_inhibitor"
"70","CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21","CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21","dopamine receptor agonist","DRD2|DRD3","","","dopamine_receptor_agonist"
"71","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O","cyclooxygenase inhibitor|prostanoid receptor agonist","PTGS1|PTGS2","","","cox inhibitor"
"72","O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO","O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","","","hdac_inhibitor"
"73","COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2","COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2","GABA receptor antagonist","GABRA1|GABRB2|GABRG2|GLRA1|GLRB","neurology/psychiatry","muscle relaxant","gaba_antagonist"
"74","CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C5CC5[C@]4(C)[C@H]3CC[C@@]21C","CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C","androgen receptor antagonist","ADORA1|AR","oncology","prostate cancer","androgen_antagonist"
"75","CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","omega 3 fatty acid stimulant","ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1","","","omega 3 fatty acid stimulant"
"76","O=C(O)Cc1cc2ccccc2nc1C(=O)O","O=C(O)Cc1cc2ccccc2nc1C(=O)O","homoquinolinic acid binding inhibitor","","","","homoquinolinic acid binding inhibitor"
"77","c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1","c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1","histamine receptor antagonist","","","","histamine receptor antagonist"
"78","O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1","O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1","dopamine receptor antagonist|serotonin receptor antagonist","HTR2A","","","dopamine_antagonist"
"79","CNNCc1ccc(C(=O)NC(C)C)cc1","CNNCc1ccc(C(=O)NC(C)C)cc1","monoamine oxidase inhibitor","","hematologic malignancy","Hodgkin's lymphoma","monoamine oxidase inhibitor"
"80","CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1","apoptosis stimulant|retinoid receptor agonist","RARA","","","retinoid_agonist_ligand"
"81","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C","angiotensin receptor antagonist","AGTR1","cardiology","hypertension|congestive heart failure|congestive heart failure","angiotensin receptor antagonist"
"82","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","progesterone receptor agonist","CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5","obstetrics/gynecology|endocrinology","infertility|amenorrhea","progesterone_agonist"
"83","OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","dopamine receptor antagonist","ADRA1A|CHRM1|DRD1|DRD2|DRD3|DRD5|HTR2A","neurology/psychiatry","schizophrenia|depression","dopamine_antagonist"
"84","N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1","N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1","tyrosine kinase inhibitor","CDK2","","","tyrosine_kinase_inhibitor"
"85","CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","angiotensin receptor antagonist","AGTR1|PPARG","cardiology","hypertension","angiotensin receptor antagonist"
"86","CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1","CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1","ATP channel blocker","ABCC8|KCNJ1|KCNJ11|KCNJ8","endocrinology","diabetes mellitus","ATP channel blocker"
"87","CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1","CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1","opioid receptor antagonist","OPRL1","","","opioid_receptor_antagonist"
"88","CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21","CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21","retinoid receptor agonist","RARA","","","retinoid_agonist_ligand"
