"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication"
"11","C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O","HSP inhibitor","HSP90AA1","",""
"12","CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1","CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1","RAF inhibitor","BRAF|LIMK1|NEK11|RAF1|SIK1","oncology","melanoma"
"13","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F","RAF inhibitor","BRAF|KDR","",""
"14","NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O","NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O","sodium/potassium/chloride transporter inhibitor","ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A1|SLC12A3","cardiology|gastroenterology|rheumatology|nephrology","edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|chronic renal failure|acute glomerulonephritis (AGN)|hypertension"
"15","NC(=O)NC1NC(=O)NC1=O","NC(=O)N[C@H]1NC(=O)NC1=O","cosmetic","","dermatology","skin protectant"
"16","CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1","CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1","FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor","BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET","oncology","renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)"
"17","O=C(CCCCCCC(=O)Nc1ccccc1)NO","O=C(CCCCCCC(=O)Nc1ccccc1)NO","HDAC inhibitor","HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)"
"18","CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1","CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1","local anesthetic","SCN5A","pulmonary","cough suppressant"
"19","CN(C)CCC=C1c2ccccc2CCc2ccccc21","CN(C)CCC=C1c2ccccc2CCc2ccccc21","norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4","neurology/psychiatry","depression"
"20","Oc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4(O)C(C2)N(CC2CC2)CCC314","Oc1ccc2c3c1O[C@H]1c4c(c5ccccc5n4Cc4ccccc4)C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314","opioid receptor antagonist","","",""
"21","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O","IKK inhibitor|NFkB pathway inhibitor","IKBKB","",""
"22","CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1","C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1","protein synthesis inhibitor","ARF1|CYTH2","",""
"23","COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1","COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1","serotonin receptor antagonist","HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6","",""
"24","Cc1ccc2c(=O)c3ccccc3n(CCCN)c2c1C","Cc1ccc2c(=O)c3ccccc3n(CCCN)c2c1C","mediator release inhibitor|SYK inhibitor","SYK","",""
"25","O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1","O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1","IKK inhibitor","IKBKB","",""
"26","COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC","COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC","JAK inhibitor","EGFR|JAK1|JAK2|JAK3","",""
"27","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1","glycogen synthase kinase inhibitor","GSK3B","",""
"28","COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC","COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC","EGFR inhibitor","EGFR|MAPK14","",""
"29","COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4","COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4","protein synthesis inhibitor","RPL3","hematologic malignancy","chronic myeloid leukemia (CML)"
"30","C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1","C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1","ATPase inhibitor","ATP1A1","",""
"31","Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1","Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1","PI3K inhibitor","","",""
"32","CCOc1ccccc1OC(c1ccccc1)C1CNCCO1","CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1","adrenergic receptor antagonist","SLC6A2","neurology/psychiatry","depression"
"33","COc1cc2c(cc1O)C(CCc1ccc(Cl)cc1)N(C)CC2","COc1cc2c(cc1O)[C@H](CCc1ccc(Cl)cc1)N(C)CC2","glutamate receptor antagonist","GRIN2B","",""
"34","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C=O","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C=O","NGF binding inhibitor","NGF|NGFR","",""
"35","COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1","COc1cc(SC)ccc1C(=O)N1CCC(Cc2ccccc2)CC1","p38 MAPK inhibitor","MAPK14","",""
"36","Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1","Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1","histone lysine methyltransferase inhibitor","CDK2|CDK4","",""
"37","O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21","O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21","cytochrome P450 inhibitor","CYP1B1","",""
"38","NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1","NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1","glucocorticoid receptor agonist","SLC12A1|SLC12A2","cardiology","hypertension|edema"
"39","CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl","CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl","dopamine receptor antagonist","DRD2|DRD3|DRD4","neurology/psychiatry","schizophrenia"
"40","CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O","CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O","dehydropeptidase inhibitor","DPEP1","",""
"41","CCCCCS(=O)(=O)CCCCCCCCCCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21","CCCCCS(=O)(=O)CCCCCCCCCCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21","estrogen receptor antagonist","ESR1|ESR2","",""
"42","COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C","COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C","T-type calcium channel blocker","ANO1|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CATSPER1|CATSPER2|CATSPER3|CATSPER4","",""
"43","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1","phosphodiesterase inhibitor","PDE2A|PDE3A|PDE3B|PDE5A","cardiology","congestive heart failure"
"44","Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1","Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1","estrogen receptor antagonist","ESR2","",""
"45","O=C1c2ccccc2C(Cc2ccnc(F)c2)(Cc2ccnc(F)c2)c2ccccc21","O=C1c2ccccc2C(Cc2ccnc(F)c2)(Cc2ccnc(F)c2)c2ccccc21","acetylcholine release enhancer","","",""
"46","CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1","CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1","phosphodiesterase inhibitor","PDE3A|PDE3B","",""
"47","COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1","COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1","ARF inhibitor","","",""
"48","COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC(n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1","COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1","protein synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","",""
"49","CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1","CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1","topoisomerase inhibitor","TOP1","",""
"50","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1","CDK inhibitor|tyrosine kinase inhibitor","CDK1|CDK2|CDK5","",""
"51","CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12","CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC6","",""
"52","CN1CCC(c2c[nH]c3ccc(O)cc23)CC1","CN1CCC(c2c[nH]c3ccc(O)cc23)CC1","serotonin receptor agonist","HTR1E|HTR1F","",""
"53","C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O","C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O","steroid","","",""
"54","COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC","COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC","vesicular monoamine transporter inhibitor","SLC18A1|SLC18A2","cardiology","hypertension"
"55","Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1","Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1","SRC inhibitor","HCK|RET","",""
"56","CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1","CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1","proteasome inhibitor","PSMB1","",""
"57","CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1","CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1","cyclooxygenase inhibitor","LTF|PLA2G2E|PTGS1|PTGS2","rheumatology|obstetrics/gynecology","osteoarthritis|menstrual pain"
"58","COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1","COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1","DNA synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","",""
"59","CCN(CC)c1cc(C)nc2ncnn12","CCN(CC)c1cc(C)nc2ncnn12","PDGFR tyrosine kinase receptor inhibitor","PDGFRA","cardiology","coronary artery disease (CAD)"
"60","Brc1c(NC2=NCCN2)ccc2nccnc12","Brc1c(NC2=NCCN2)ccc2nccnc12","adrenergic receptor agonist","ADRA2A|ADRA2B|ADRA2C","ophthalmology","intraocular pressure|glaucoma|ocular hypertension"
"61","COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O","COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O","protein tyrosine kinase inhibitor","ERBB2","",""
"62","Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1","Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1","dopamine reuptake inhibitor","SLC6A3","",""
"63","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21","NFkB pathway inhibitor","","",""
"64","CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1","CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1","serotonin receptor agonist","HTR1B","",""
"65","Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O","Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O","xanthine oxidase inhibitor","XDH","nephrology","hyperuricemia"
"66","COc1cccc(-c2cc(=O)c3ccccc3o2)c1N","COc1cccc(-c2cc(=O)c3ccccc3o2)c1N","MEK inhibitor","AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1","",""
"67","CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1","CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1","CCK receptor antagonist","CCKBR","",""
"68","COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1","COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1","serotonin receptor partial agonist","HTR4","",""
"69","c1ccc2c(CC3=NCCN3)cccc2c1","c1ccc2c(CC3=NCCN3)cccc2c1","adrenergic receptor agonist","ADRA1A|ADRA2A","ophthalmology","eye irritation"
"70","CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21","CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21","dopamine receptor antagonist","DRD2|HTR2A","neurology/psychiatry","schizophrenia"
"71","O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21","O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21","CDC inhibitor","CDC25A|CDC25B","",""
"72","O=S(=O)(c1cccc2cnccc12)N1CCNCC1","O=S(=O)(c1cccc2cnccc12)N1CCNCC1","protein kinase inhibitor","PRKCA","",""
"73","CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21","CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21","dopamine receptor agonist","DRD2|DRD3","",""
"74","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O","cyclooxygenase inhibitor|prostanoid receptor agonist","PTGS1|PTGS2","",""
"75","O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO","O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO","HDAC inhibitor","HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","",""
"76","COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2","COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2","GABA receptor antagonist","GABRA1|GABRB2|GABRG2|GLRA1|GLRB","neurology/psychiatry","muscle relaxant"
"77","CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C5CC5[C@]4(C)[C@H]3CC[C@@]21C","CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C","androgen receptor antagonist","ADORA1|AR","oncology","prostate cancer"
"78","CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","omega 3 fatty acid stimulant","ELOVL4|FADS1|FADS2|FFAR1|FFAR4|PTGS2|SLC8A1|TRPV1","",""
"79","O=C(O)Cc1cc2ccccc2nc1C(=O)O","O=C(O)Cc1cc2ccccc2nc1C(=O)O","homoquinolinic acid binding inhibitor","","",""
"80","c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1","c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1","histamine receptor antagonist","","",""
"81","O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1","O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1","dopamine receptor antagonist|serotonin receptor antagonist","HTR2A","",""
"82","CNNCc1ccc(C(=O)NC(C)C)cc1","CNNCc1ccc(C(=O)NC(C)C)cc1","monoamine oxidase inhibitor","","hematologic malignancy","Hodgkin's lymphoma"
"83","CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1","apoptosis stimulant|retinoid receptor agonist","RARA","",""
"84","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C","CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C","angiotensin receptor antagonist","AGTR1","cardiology","hypertension|congestive heart failure|congestive heart failure"
"85","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","progesterone receptor agonist","CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5","obstetrics/gynecology|endocrinology","infertility|amenorrhea"
"86","OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","dopamine receptor antagonist","ADRA1A|CHRM1|DRD1|DRD2|DRD3|DRD5|HTR2A","neurology/psychiatry","schizophrenia|depression"
"87","N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1","N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1","tyrosine kinase inhibitor","CDK2","",""
"88","CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","angiotensin receptor antagonist","AGTR1|PPARG","cardiology","hypertension"
"89","CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1","CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1","ATP channel blocker","ABCC8|KCNJ1|KCNJ11|KCNJ8","endocrinology","diabetes mellitus"
"90","CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1","CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1","opioid receptor antagonist","OPRL1","",""
"91","CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21","CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21","retinoid receptor agonist","RARA","",""
"92","N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1","N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1","EGFR inhibitor|JAK inhibitor","EGFR|JAK2|JAK3","",""
"93","O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O","O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O","EGFR inhibitor|SRC inhibitor","ACE","",""
"94","CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O","CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O","insulin secretagogue","ABCC8|KCNJ1|KCNJ11","endocrinology","diabetes mellitus"
